# Generated=20150326-11:55:16, User=unsj
# Linux keira-ubuntu 3.5.0-17-generic #28-Ubuntu SMP Tue Oct 9 19:31:23 UTC 2012 x86_64 x86_64 x86_64 GNU/Linux
# Machine (5958MB)
#   Socket L#0 + L3 L#0 (12MB)
#     L2 L#0 (256KB) + L1 L#0 (32KB) + Core L#0 + PU L#0 (P#0)
#     L2 L#1 (256KB) + L1 L#1 (32KB) + Core L#1 + PU L#1 (P#2)
#     L2 L#2 (256KB) + L1 L#2 (32KB) + Core L#2 + PU L#2 (P#4)
#     L2 L#3 (256KB) + L1 L#3 (32KB) + Core L#3 + PU L#3 (P#6)
#     L2 L#4 (256KB) + L1 L#4 (32KB) + Core L#4 + PU L#4 (P#8)
#     L2 L#5 (256KB) + L1 L#5 (32KB) + Core L#5 + PU L#5 (P#10)
#   Socket L#1 + L3 L#1 (12MB)
#     L2 L#6 (256KB) + L1 L#6 (32KB) + Core L#6 + PU L#6 (P#1)
#     L2 L#7 (256KB) + L1 L#7 (32KB) + Core L#7 + PU L#7 (P#3)
#     L2 L#8 (256KB) + L1 L#8 (32KB) + Core L#8 + PU L#8 (P#5)
#     L2 L#9 (256KB) + L1 L#9 (32KB) + Core L#9 + PU L#9 (P#7)
#     L2 L#10 (256KB) + L1 L#10 (32KB) + Core L#10 + PU L#10 (P#9)
#     L2 L#11 (256KB) + L1 L#11 (32KB) + Core L#11 + PU L#11 (P#11)
ExperimentNumber,Algorithm,NumberOfThreads,InputFile,LengthOfText,ElapsedTimeSec,Instructions,LLCReadMisses,LLCWriteMisses
180,psa,12,/home/unsj/datasets/english.16MB,16777215,3.363503,132769513650,21408465,12088100
181,psa,12,/home/unsj/datasets/proteins.64MB,67108863,19.485322,709105577019,253677393,79387214
182,psa,12,/home/unsj/datasets/proteins.64MB,67108863,19.752810,709060970298,255998472,79382217
183,psa,12,/home/unsj/datasets/proteins.64MB,67108863,18.989275,708909216698,257500046,79445718
184,psa,12,/home/unsj/datasets/english.1MB,1048575,0.345521,7410699997,165365,870859
185,psa,12,/home/unsj/datasets/english.1MB,1048575,0.287684,7404238747,148902,858107
186,psa,12,/home/unsj/datasets/english.1MB,1048575,0.375869,7675580483,159667,866927
187,psa,12,/home/unsj/datasets/proteins.64MB,67108863,10.598426,368276805893,295434468,37869612
188,psa,12,/home/unsj/datasets/proteins.64MB,67108863,10.716722,368299488606,285670984,37862448
189,psa,12,/home/unsj/datasets/proteins.64MB,67108863,10.679664,368311952415,275802754,37847294
190,psa,12,/home/unsj/datasets/english.1MB,1048575,0.662910,25983346534,127975,171437
191,psa,12,/home/unsj/datasets/english.1MB,1048575,0.710267,29126038013,120648,135011
192,psa,12,/home/unsj/datasets/english.1MB,1048575,0.657964,27091913025,120017,165244
193,psa,12,/home/unsj/datasets/proteins.64MB,67108863,13.935016,536854689427,271055970,56978912
194,psa,12,/home/unsj/datasets/proteins.64MB,67108863,13.893427,537000285642,266547666,57016795
195,psa,12,/home/unsj/datasets/proteins.64MB,67108863,13.841807,536886299725,266680200,56987445
196,psa,12,/home/unsj/datasets/english.1MB,1048575,0.136115,4791305612,116167,513887
197,psa,12,/home/unsj/datasets/english.1MB,1048575,0.133272,4685574730,108297,502489
198,psa,12,/home/unsj/datasets/english.1MB,1048575,0.135512,4683716378,101971,504595
199,psa,12,/home/unsj/datasets/proteins.8MB,8388607,2.315838,74365654312,5661404,8308430
200,psa,12,/home/unsj/datasets/proteins.8MB,8388607,2.828963,74377708235,5553778,8378610
201,psa,12,/home/unsj/datasets/proteins.8MB,8388607,2.435864,74307032989,5415186,8319254
202,psa,12,/home/unsj/datasets/english.2MB,2097151,0.459050,15922775516,481166,1818952
203,psa,12,/home/unsj/datasets/english.2MB,2097151,0.711093,15980339939,527678,1842459
204,psa,12,/home/unsj/datasets/english.2MB,2097151,0.575949,15969295163,504813,1828521
205,psa,12,/home/unsj/datasets/proteins.8MB,8388607,1.033639,37270505808,4642687,3077284
206,psa,12,/home/unsj/datasets/proteins.8MB,8388607,1.241149,45911761651,4392909,3037711
207,psa,12,/home/unsj/datasets/proteins.8MB,8388607,0.953621,33953086515,4385820,3072025
208,psa,12,/home/unsj/datasets/english.2MB,2097151,0.686345,27098686396,379901,463661
209,psa,12,/home/unsj/datasets/english.2MB,2097151,0.702077,27817505025,402218,453067
210,psa,12,/home/unsj/datasets/english.2MB,2097151,0.687703,27378608889,371857,443310
211,psa,12,/home/unsj/datasets/proteins.8MB,8388607,1.331740,52860331639,4939504,5471423
212,psa,12,/home/unsj/datasets/proteins.8MB,8388607,1.335235,52807620927,5008939,5485698
213,psa,12,/home/unsj/datasets/proteins.8MB,8388607,1.325392,52816947247,5358681,5492377
214,psa,12,/home/unsj/datasets/english.2MB,2097151,0.281970,10505509866,353398,1131530
