# Generated=20150326-16:09:00, User=unsj
# Linux keira-ubuntu 3.5.0-17-generic #28-Ubuntu SMP Tue Oct 9 19:31:23 UTC 2012 x86_64 x86_64 x86_64 GNU/Linux
# Machine (5958MB)
#   Socket L#0 + L3 L#0 (12MB)
#     L2 L#0 (256KB) + L1 L#0 (32KB) + Core L#0 + PU L#0 (P#0)
#     L2 L#1 (256KB) + L1 L#1 (32KB) + Core L#1 + PU L#1 (P#2)
#     L2 L#2 (256KB) + L1 L#2 (32KB) + Core L#2 + PU L#2 (P#4)
#     L2 L#3 (256KB) + L1 L#3 (32KB) + Core L#3 + PU L#3 (P#6)
#     L2 L#4 (256KB) + L1 L#4 (32KB) + Core L#4 + PU L#4 (P#8)
#     L2 L#5 (256KB) + L1 L#5 (32KB) + Core L#5 + PU L#5 (P#10)
#   Socket L#1 + L3 L#1 (12MB)
#     L2 L#6 (256KB) + L1 L#6 (32KB) + Core L#6 + PU L#6 (P#1)
#     L2 L#7 (256KB) + L1 L#7 (32KB) + Core L#7 + PU L#7 (P#3)
#     L2 L#8 (256KB) + L1 L#8 (32KB) + Core L#8 + PU L#8 (P#5)
#     L2 L#9 (256KB) + L1 L#9 (32KB) + Core L#9 + PU L#9 (P#7)
#     L2 L#10 (256KB) + L1 L#10 (32KB) + Core L#10 + PU L#10 (P#9)
#     L2 L#11 (256KB) + L1 L#11 (32KB) + Core L#11 + PU L#11 (P#11)
ExperimentNumber,Algorithm,NumberOfThreads,InputFile,LengthOfText,ElapsedTimeSec,Instructions,LLCReadMisses,LLCWriteMisses
124,psa,10,/home/unsj/datasets/dna.64MB,67108863,16.903310,539234917187,299846184,57012772
125,psa,10,/home/unsj/datasets/dna.64MB,67108863,16.952205,539232785555,314690672,56982737
126,psa,10,/home/unsj/datasets/dna.64MB,67108863,16.627551,539229748704,318329313,57036631
127,psa,10,/home/unsj/datasets/proteins.2MB,2097151,0.510361,16571806851,548768,1800672
128,psa,10,/home/unsj/datasets/proteins.2MB,2097151,0.618606,16593113122,625610,1811104
129,psa,10,/home/unsj/datasets/proteins.2MB,2097151,0.498420,16573443899,677856,1803334
130,psa,10,/home/unsj/datasets/dna.8MB,8388607,2.197320,74046429779,6924607,8229643
131,psa,10,/home/unsj/datasets/dna.8MB,8388607,2.300597,74057643011,7273463,8226616
132,psa,10,/home/unsj/datasets/dna.8MB,8388607,2.220260,74040054006,7338842,8227477
133,psa,10,/home/unsj/datasets/proteins.2MB,2097151,0.843401,28185621394,373500,447377
134,psa,10,/home/unsj/datasets/proteins.2MB,2097151,0.830938,27685975747,385848,416191
135,psa,10,/home/unsj/datasets/proteins.2MB,2097151,0.825179,27539674785,387127,447917
136,psa,10,/home/unsj/datasets/dna.8MB,8388607,1.241871,36148970156,6421890,3184699
137,psa,10,/home/unsj/datasets/dna.8MB,8388607,1.284958,37051946146,5996632,3155559
138,psa,10,/home/unsj/datasets/dna.8MB,8388607,1.243319,36153698986,5886818,3135535
139,psa,10,/home/unsj/datasets/proteins.2MB,2097151,0.349579,11228796080,428829,1131507
140,psa,10,/home/unsj/datasets/proteins.2MB,2097151,0.354467,11253882003,427241,1125855
141,psa,10,/home/unsj/datasets/proteins.2MB,2097151,0.351912,11228128838,417849,1125817
142,psa,10,/home/unsj/datasets/dna.8MB,8388607,1.625566,52493741314,6495295,5485135
143,psa,10,/home/unsj/datasets/dna.8MB,8388607,1.627388,52494563637,6346730,5486455
144,psa,10,/home/unsj/datasets/dna.8MB,8388607,1.632391,52498647745,6325972,5479558
145,psa,10,/home/unsj/datasets/proteins.32MB,33554431,9.728210,336367274356,79832598,37249208
146,psa,10,/home/unsj/datasets/proteins.32MB,33554431,9.775948,336373157596,70821197,37215531
147,psa,10,/home/unsj/datasets/proteins.32MB,33554431,9.572738,336335448633,76439647,37214176
148,psa,10,/home/unsj/datasets/english.128MB,134217727,150.024332,1710529650336,681054822,173308660
149,psa,10,/home/unsj/datasets/english.128MB,134217727,160.035939,1745034985495,607420270,171427589
150,psa,10,/home/unsj/datasets/english.128MB,134217727,144.793057,1695134573212,627870388,171555916
151,psa,10,/home/unsj/datasets/proteins.32MB,33554431,5.575698,167842907146,79020137,16506943
152,psa,10,/home/unsj/datasets/proteins.32MB,33554431,5.620777,167832449343,69572371,16597873
153,psa,10,/home/unsj/datasets/proteins.32MB,33554431,5.464145,167825285284,77720094,16555807
154,psa,10,/home/unsj/datasets/english.128MB,134217727,32.348413,975146898826,749747728,84587941
155,psa,10,/home/unsj/datasets/english.128MB,134217727,32.528090,975078327231,737047245,84548656
156,psa,10,/home/unsj/datasets/english.128MB,134217727,32.100828,975078648077,756443384,85172531
157,psa,10,/home/unsj/datasets/proteins.32MB,33554431,7.425952,250976808698,75983865,26270442
158,psa,10,/home/unsj/datasets/proteins.32MB,33554431,7.342464,250978888351,71013883,26209346
159,psa,10,/home/unsj/datasets/proteins.32MB,33554431,7.454503,250985756058,74796004,26324116
160,psa,10,/home/unsj/datasets/english.128MB,134217727,84.124267,1358819240088,707695978,126859459
161,psa,10,/home/unsj/datasets/english.128MB,134217727,83.550636,1325782621834,719268332,127078129
162,psa,10,/home/unsj/datasets/english.128MB,134217727,90.864226,1383544703994,730922929,127055206
163,psa,10,/home/unsj/datasets/proteins.4MB,4194303,1.037038,34824108803,1563339,3861489
164,psa,10,/home/unsj/datasets/proteins.4MB,4194303,1.031994,34814202923,1576916,3846381
165,psa,10,/home/unsj/datasets/proteins.4MB,4194303,1.034616,34817100858,1558167,3851393
166,psa,10,/home/unsj/datasets/english.16MB,16777215,5.109404,175837813745,21117117,17536730
167,psa,10,/home/unsj/datasets/english.16MB,16777215,5.021737,175821933245,20151399,17525732
168,psa,10,/home/unsj/datasets/english.16MB,16777215,5.144827,175880822929,19332641,17565316
169,psa,10,/home/unsj/datasets/proteins.4MB,4194303,0.835291,26266019088,1181488,1246608
170,psa,10,/home/unsj/datasets/proteins.4MB,4194303,0.829653,26144387242,1255607,1252815
171,psa,10,/home/unsj/datasets/proteins.4MB,4194303,0.832644,26187346755,1162001,1229742
172,psa,10,/home/unsj/datasets/english.16MB,16777215,2.994927,89936496532,19759261,7354489
173,psa,10,/home/unsj/datasets/english.16MB,16777215,3.087093,89936871317,21134555,7356193
174,psa,10,/home/unsj/datasets/english.16MB,16777215,2.992281,89938998994,20218001,7355977
175,psa,10,/home/unsj/datasets/proteins.4MB,4194303,0.734881,24124387516,1309978,2485235
176,psa,10,/home/unsj/datasets/proteins.4MB,4194303,0.731102,24117822647,1324879,2485394
177,psa,10,/home/unsj/datasets/proteins.4MB,4194303,0.731706,24131840369,1347725,2486515
178,psa,10,/home/unsj/datasets/english.16MB,16777215,4.015154,132767972234,20799821,12048864
179,psa,10,/home/unsj/datasets/english.16MB,16777215,4.035893,132758913378,19537093,12060777
180,psa,10,/home/unsj/datasets/english.16MB,16777215,3.960560,132760413682,18662580,12051681
181,psa,10,/home/unsj/datasets/proteins.64MB,67108863,20.953050,708492543811,255692453,78893375
182,psa,10,/home/unsj/datasets/proteins.64MB,67108863,21.018940,708366765339,256191665,78832418
183,psa,10,/home/unsj/datasets/proteins.64MB,67108863,20.522307,708365740434,255380322,78818345
184,psa,10,/home/unsj/datasets/english.1MB,1048575,0.236083,7365064879,123172,840102
185,psa,10,/home/unsj/datasets/english.1MB,1048575,0.298352,7405298302,121124,842965
186,psa,10,/home/unsj/datasets/english.1MB,1048575,0.354706,7384855059,121381,847637
187,psa,10,/home/unsj/datasets/proteins.64MB,67108863,12.412127,368245461730,269245042,37429084
188,psa,10,/home/unsj/datasets/proteins.64MB,67108863,12.543638,368268319658,275835700,37422827
189,psa,10,/home/unsj/datasets/proteins.64MB,67108863,12.549963,368253223399,271486902,37396450
190,psa,10,/home/unsj/datasets/english.1MB,1048575,0.675846,22892611490,109866,166505
191,psa,10,/home/unsj/datasets/english.1MB,1048575,0.656311,22197153379,103791,129072
192,psa,10,/home/unsj/datasets/english.1MB,1048575,0.656365,22385818042,105135,135107
193,psa,10,/home/unsj/datasets/proteins.64MB,67108863,16.355760,536822728454,245372902,56948863
194,psa,10,/home/unsj/datasets/proteins.64MB,67108863,16.122414,536843448796,246674086,56839473
195,psa,10,/home/unsj/datasets/proteins.64MB,67108863,16.127912,536823884946,246643694,56852820
196,psa,10,/home/unsj/datasets/english.1MB,1048575,0.155498,4668720624,75920,501242
197,psa,10,/home/unsj/datasets/english.1MB,1048575,0.157758,4665899482,77141,493454
